rank,prev_rank,rider,team,points,manager
338,409,AGIRRE Jon,Euskaltel - Euskadi,163,
339,2092,JAMAICA Javier Ernesto,Nu Colombia,163,
340,164,BAUHAUS Phil,Bahrain - Victorious,162,
341,433,HATHERLY Alan,Team Jayco AlUla,162,
342,211,ALBANESE Vincenzo,EF Education - EasyPost,162,
343,147,FRIGO Marco,NSN Cycling Team,160,
344,855,TONEATTI Davide,XDS Astana Team,159,
345,641,PAREDES Wilmar Andres,Team Medellín - EPM,159,
346,591,DEKKER David,BEAT CC p/b Saxo,158,
347,1137,MÜLLER Tobias,Unibet Rose Rockets,158,
348,413,SCHIFFER Anton,Team Visma | Lease a Bike,157,
349,241,TEUNS Dylan,Cofidis,157,
350,684,JOHANSEN Julius,UAE Team Emirates - XRG,157,
351,165,LARSEN Niklas,Unibet Rose Rockets,156,
352,500,TURCONI Filippo,Bardiani CSF 7 Saber,156,
353,698,MUDGWAY Luke,Li Ning Star,155,
354,832,ERŽEN Žak,Bahrain - Victorious,155,
355,701,KOPECKÝ Tomáš,Unibet Rose Rockets,155,
356,470,TSISHKOU Raman,Li Ning Star,155,
357,403,DE BOD Stefan,Modern Adventure Pro Cycling,154,
358,333,BUSATTO Francesco,Alpecin - Premier Tech,153,
359,1031,FABBRO Matteo,Solution Tech NIPPO Rali,153,
360,492,ÁLVAREZ Héctor,Lidl - Trek Future Racing,152,
361,324,NERURKAR Lukas,EF Education - EasyPost,152,
362,337,KELDERMAN Wilco,Team Visma | Lease a Bike,152,
363,1335,BONNET Thomas,TotalEnergies,151,
364,1119,PEDERSEN Henrik,Uno-X Mobility,151,
365,606,HUERTAS Jason Andrey,,150,
366,134,BERTHET Clément,Groupama - FDJ United,150,
367,396,PLOWRIGHT Jensen,Alpecin - Premier Tech,149,
368,444,SPARFEL Aubin,Decathlon CMA CGM Development Team,147,
369,1171,PAJUR Romet,Red Bull - BORA - hansgrohe Rookies,146,
370,291,MILESI Lorenzo,Movistar Team,145,
371,273,CAMPENAERTS Victor,Team Visma | Lease a Bike,145,
372,506,VERRE Alessandro,MBH Bank CSB Telecom Fort,144,
373,584,HERZOG Emil,Red Bull - BORA - hansgrohe,144,
374,98,SKUJIŅŠ Toms,Lidl - Trek,144,
375,287,PEÑALVER Manuel,Team Polti VisitMalta,143,
376,137,SCHACHMANN Maximilian,Soudal Quick-Step,143,
377,947,BOICHIS Adrien,Red Bull - BORA - hansgrohe,142,
378,449,MAESTRI Mirco,Team Polti VisitMalta,142,
379,115,DOUBLE Paul,Team Jayco AlUla,142,
380,176,THOMAS Benjamin,Cofidis,142,
381,1016,SORARRAIN Gorka,Caja Rural - Seguros RGA,140,
382,509,LE BERRE Mathis,TotalEnergies,138,
383,2066,VAN TRICHT Floris,NSN Cycling Team,138,
384,429,KOERDT Bjorn,Team Picnic PostNL,137,
385,190,DE LA CRUZ David,Pinarello Q36.5 Pro Cycling Team,137,
386,1898,THÉOT Killian,Van Rysel Roubaix,136,
387,1832,HARDOUIN Louis,Van Rysel Roubaix,135,
388,481,TSVETKOV Nikita,Bardiani CSF 7 Saber,135,
389,343,CATTANEO Mattia,Red Bull - BORA - hansgrohe,134,
390,439,GARIBBO Nicolò,Team UKYO,134,
391,629,BRUSTENGA Marc,Equipo Kern Pharma,134,
392,1200,CALZONI Walter,Pinarello Q36.5 Pro Cycling Team,134,
393,257,MEURISSE Xandro,Pinarello Q36.5 Pro Cycling Team,133,
394,959,FOX Matthew,Lotto Intermarché,131,
395,951,PRONSKIY Vadim,Terengganu Cycling Team,131,
396,454,MARTÍ Pau,NSN Cycling Team,131,
397,557,NEILANDS Krists,NSN Cycling Team,131,
398,247,PRADES Eduard,Caja Rural - Seguros RGA,129,
399,393,BONNEU Kamiel,Solution Tech NIPPO Rali,129,
400,299,PEÑA Jesús David,Efapel Cycling,129,
401,613,SCOTT Cameron,Li Ning Star,128,
402,503,OLIVEIRA Rui,UAE Team Emirates - XRG,127,
403,940,SU Haoyu,XDS Astana Team,127,
404,296,KWIATKOWSKI Michał,Netcompany INEOS,125,
405,431,TJØTTA Martin,Uno-X Mobility,125,
406,474,VAN ENGELEN Adne,Terengganu Cycling Team,124,
407,1557,BLEDDYN Oliver,Team Brennan,123,
408,453,RIVERA Brandon Smith,Netcompany INEOS,123,
409,874,MUÑOZ Francisco,Team Polti VisitMalta,122,
410,2503,CHRISTIE-JOHNSTON Alastair,CCACHE x BODYWRAP,122,
412,1043,VEISTROFFER Baptiste,Lotto Intermarché,121,
413,196,VAN DEN BROEK Frank,Team Picnic PostNL,121,
414,975,BOCK Max,Red Bull - BORA - hansgrohe Rookies,121,
415,1277,HERREGODTS Rune,UAE Team Emirates - XRG,120,
416,1867,BROWNING Fergus,Terengganu Cycling Team,119,
417,319,CAVIA Daniel,Burgos Burpellet BH,119,
418,512,BURGAUDEAU Mathieu,TotalEnergies,119,
419,703,GLIVAR Gal,Alpecin - Premier Tech,118,
420,349,RUTSCH Jonas,Lotto Intermarché,118,
421,314,THEUNS Edward,Lidl - Trek,118,
422,415,ARVANITOU Nikiforos,Team United Shipping,118,
423,1655,PLUTO Mārtiņš,Energus Cycling Team,118,
424,505,CHRISTOPHERSEN Cedrik Bakke,Unibet Rose Rockets,117,
425,932,SILVA Pedro,Feira dos Sofás - Boavista,117,
426,402,BUDZIŃSKI Marcin,MBH Bank CSB Telecom Fort,116,
427,1209,FROIDEVAUX Robin,Tudor Pro Cycling Team,116,
428,266,DENZ Nico,Red Bull - BORA - hansgrohe,116,
429,1479,MIFSUD Andrea,Team Polti VisitMalta,116,
430,539,KRETSCHY Moritz,NSN Cycling Team,116,
431,497,GOVEKAR Matevž,Bahrain - Victorious,116,
432,1571,DHONDT Robbe,Team Picnic PostNL,116,
433,652,STÜSSI Colin,Team Vorarlberg,116,
434,0,VEZIE Maxime,CIC Pro Cycling Academy,115,
435,1693,DRIESEN Niels,Lotto - Groupe Wanty,114,
436,288,KOGUT Oded,NSN Cycling Team,114,
437,865,SEVILLA Diego Pablo,Team Polti VisitMalta,113,
438,537,LÓPEZ Jordi,Euskaltel - Euskadi,113,
439,967,BLOEM Joren,Unibet Rose Rockets,113,
440,353,NAESEN Oliver,Decathlon CMA CGM Team,112,
441,807,ÄRM Rait,Energus Cycling Team,112,
442,357,HOLTER Ådne,Uno-X Mobility,111,
443,259,BISSEGGER Stefan,Decathlon CMA CGM Team,111,
444,361,MOLARD Rudy,Groupama - FDJ United,111,
445,0,BAGATIN Christian,MBH Bank CSB Telecom Fort,110,
446,443,NICOLAU Joel,Caja Rural - Seguros RGA,109,
447,422,CÔTÉ Pier-André,NSN Cycling Team,109,
448,150,NYS Thibau,Lidl - Trek,109,Mike
449,603,PALETTI Luca,Bardiani CSF 7 Saber,108,
450,863,MURGUIALDAY Jokin,Euskaltel - Euskadi,108,
451,366,ALLENO Clément,Burgos Burpellet BH,107,
452,321,CHUMIL Sergio Geovani,Burgos Burpellet BH,107,
453,404,DE KLEIJN Arvid,Tudor Pro Cycling Team,107,
454,859,BARBIER Pierre,Terengganu Cycling Team,106,
455,1195,VANHUFFEL Matteo,Development Team Picnic PostNL,106,
